source,catalog_product_name,catalog_brand,candidate_code,issuing_agency,name_in_db,company_in_db,detail_or_class,extra_id,manufacturer_srn,status,detail_uuid,query_url,found_on
openFDA-US,Dexcom G6 Sensor,Dexcom,00386270001627,GS1,Dexcom G6 Transmitter,"Dexcom, Inc.",G6 Nuevo Transmitter,9445-24,,In Commercial Distribution,,https://api.fda.gov/device/udi.json?search=brand_name%3A%22Dexcom%20G6%22&limit=10,2026-06-26
openFDA-US,Dexcom G6 Sensor,Dexcom,00386270001900,GS1,Dexcom G6 Receiver,"Dexcom, Inc.",G6 Receiver Kit (Retail),STK-OE-001,,In Commercial Distribution,,https://api.fda.gov/device/udi.json?search=brand_name%3A%22Dexcom%20G6%22&limit=10,2026-06-26
openFDA-US,Dexcom G6 Sensor,Dexcom,00386270001092,GS1,Dexcom G6 Professional System,"Dexcom, Inc.",Dexcom G6 Professional System,STP-PR-001,,In Commercial Distribution,,https://api.fda.gov/device/udi.json?search=brand_name%3A%22Dexcom%20G6%22&limit=10,2026-06-26
openFDA-US,Dexcom G6 Sensor,Dexcom,00386270000583,GS1,Dexcom G6 Receiver,"Dexcom, Inc.",G6 Receiver,MT24078,,In Commercial Distribution,,https://api.fda.gov/device/udi.json?search=brand_name%3A%22Dexcom%20G6%22&limit=10,2026-06-26
openFDA-US,Dexcom G6 Sensor,Dexcom,00386270003232,GS1,Dexcom G6 Receiver,"Dexcom, Inc.",G6 Falcon Receiver US Medicare,STK-FM-001,,In Commercial Distribution,,https://api.fda.gov/device/udi.json?search=brand_name%3A%22Dexcom%20G6%22&limit=10,2026-06-26
openFDA-US,Dexcom G6 Sensor,Dexcom,00386270000811,GS1,Dexcom G6 Android,"Dexcom, Inc.",G6 Android,SW11678,,In Commercial Distribution,,https://api.fda.gov/device/udi.json?search=brand_name%3A%22Dexcom%20G6%22&limit=10,2026-06-26
openFDA-US,Dexcom G6 Sensor,Dexcom,00386270000590,GS1,Dexcom G6 Receiver Kit,"Dexcom, Inc.",G6 Receiver Kit,STK-OR-001,,In Commercial Distribution,,https://api.fda.gov/device/udi.json?search=brand_name%3A%22Dexcom%20G6%22&limit=10,2026-06-26
openFDA-US,Dexcom G6 Sensor,Dexcom,00386270000804,GS1,Dexcom G6 iOS,"Dexcom, Inc.",G6 iOS,SW11677,,In Commercial Distribution,,https://api.fda.gov/device/udi.json?search=brand_name%3A%22Dexcom%20G6%22&limit=10,2026-06-26
openFDA-US,Dexcom G6 Sensor,Dexcom,00386270003225,GS1,Dexcom G6 Receiver,"Dexcom, Inc.","G6 Receiver Kit, Retail - US Falcon",STK-FR-001,,In Commercial Distribution,,https://api.fda.gov/device/udi.json?search=brand_name%3A%22Dexcom%20G6%22&limit=10,2026-06-26
openFDA-US,Dexcom G6 Sensor,Dexcom,00386270000385,GS1,Dexcom G6 Transmitter,"Dexcom, Inc.",G6 Transmitter,9445-02,,Not in Commercial Distribution,,https://api.fda.gov/device/udi.json?search=brand_name%3A%22Dexcom%20G6%22&limit=10,2026-06-26
